"premier_league","2024-2025",1115
"premier_league","2023-2024",1246
"premier_league","2022-2023",1084
"premier_league","2021-2022",1071
"premier_league","2020-2021",1024
"premier_league","2019-2020",1034
"premier_league","2018-2019",1072
"premier_league","2017-2018",1018
"premier_league","2016-2017",1064
"premier_league","2015-2016",1026
"premier_league","2014-2015",975
"premier_league","2013-2014",1052
"premier_league","2012-2013",1063
"premier_league","2011-2012",1066
"premier_league","2010-2011",1063
"premier_league","2009-2010",1053
